phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,393.5,198.8,198.4,1530,14001,96,49,1.98,50.2,0x4,0.0,54.8,256,8,272.0,32,2.5,0.22,2
decode,225,384.7,225.3,225.4,1770,14001,98,58,1.71,54.8,0x4,0.0,58.3,256,8,272.0,32,2.5,0.73,2
decode,253,374.0,255.1,255.7,1995,14001,97,50,1.47,57.1,0x4,0.0,61.8,256,8,272.0,32,2.5,0.54,2
decode,284,396.5,282.9,283.6,2205,14001,95,53,1.4,56.5,0x4,0.0,60.0,256,8,272.0,32,2.5,0.46,2
decode,320,368.1,321.9,322.1,2415,14001,98,50,1.14,57.9,0x4,0.0,61.4,256,8,272.0,32,2.5,0.29,2
decode,359,384.6,362.4,360.6,2580,14001,96,55,1.06,61.0,0x4,0.0,65.5,256,8,272.0,32,2.5,0.05,2
decode,404,369.6,402.6,406.0,2790,14001,98,53,0.92,63.2,0x4,0.0,66.9,256,8,272.0,32,2.5,0.27,2
decode,454,390.2,427.8,429.2,2895,14001,98,49,0.91,64.4,0x0,0.0,68.3,256,8,272.0,32,2.5,0.05,2
decode,511,385.7,429.6,430.3,2895,14001,99,55,0.9,64.4,0x0,0.0,67.5,256,8,272.0,32,2.5,0.02,2
decode,575,374.6,430.9,430.4,2880,14001,97,45,0.87,64.1,0x0,0.0,67.8,256,8,272.0,32,2.5,0.62,2
