phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,2465.3,172.5,171.5,810,14001,94,10,14.29,51.4,0x0,0.0,55.8,4096,2,810,False
prefill,575,3349.0,197.3,197.5,1110,14001,96,14,16.97,51.6,0x0,0.0,55.6,4096,2,1110,False
prefill,575,4219.7,244.5,243.5,1410,14001,96,17,17.26,54.6,0x0,0.0,58.7,4096,2,1410,False
prefill,575,5200.6,304.4,305.3,1710,14001,96,9,17.08,58.1,0x0,0.0,61.6,4096,2,1710,False
prefill,575,5828.7,375.6,377.7,1950,14001,96,12,15.52,63.9,0x0,0.0,67.1,4096,2,1950,False
prefill,575,6606.3,457.5,459.2,2190,14001,93,10,14.44,66.8,0x0,0.0,71.0,4096,2,2190,False
prefill,575,7335.4,553.2,555.5,2430,14001,96,12,13.26,72.7,0x0,0.0,76.5,4096,2,2430,False
prefill,575,7618.2,578.0,581.7,2475,14001,96,20,13.18,75.4,0x4,0.0,78.4,4096,2,2670,True
prefill,575,7556.5,580.4,578.6,2460,14001,94,10,13.02,75.0,0x4,0.0,80.5,4096,2,2880,True
prefill,575,7411.1,576.9,573.1,2445,14001,96,14,12.85,76.1,0x4,0.0,79.8,4096,2,3090,True
