phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,1034.4,198.9,198.7,1335,14001,96,55,5.2,51.6,0x4,0.0,56.0,256,64,272.0,32,2.5,0.09,2
decode,225,1205.8,225.2,224.9,1560,14001,98,52,5.35,54.6,0x4,0.0,58.1,256,64,272.0,32,2.5,0.25,2
decode,253,1340.5,252.9,253.5,1740,14001,96,51,5.3,53.2,0x4,0.0,56.1,256,64,272.0,32,2.5,0.59,2
decode,284,1465.5,286.5,286.4,1905,14001,95,48,5.11,57.4,0x4,0.0,61.6,256,64,272.0,32,2.5,0.67,2
decode,320,1471.8,318.2,316.9,2100,14001,97,52,4.62,59.2,0x4,0.0,62.7,256,64,272.0,32,2.5,0.01,2
decode,359,1696.7,354.2,352.7,2280,14001,97,51,4.79,60.7,0x4,0.0,65.1,256,64,272.0,32,2.5,0.07,2
decode,404,1768.8,402.1,403.1,2445,14001,96,50,4.4,64.8,0x4,0.0,68.0,256,64,272.0,32,2.5,0.84,2
decode,454,1787.0,457.3,460.0,2595,14001,96,53,3.91,69.1,0x4,0.0,72.8,256,64,272.0,32,2.5,0.02,2
decode,511,1995.3,511.6,513.4,2775,14001,97,54,3.9,68.6,0x4,0.0,72.9,256,64,272.0,32,2.5,0.42,2
decode,575,2024.0,550.4,551.8,2895,14001,99,52,3.68,70.9,0x0,0.0,75.1,256,64,272.0,32,2.5,0.25,2
