phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,889.9,199.5,199.7,1275,14001,97,52,4.46,53.3,0x4,0.0,57.9,512,64,528.0,32,2.5,0.23,2
decode,225,1022.4,225.9,226.6,1500,14001,95,52,4.52,52.8,0x4,0.0,56.2,512,64,528.0,32,2.5,0.77,2
decode,253,1167.6,253.7,255.2,1680,14001,98,52,4.6,54.5,0x4,0.0,59.2,512,64,528.0,32,2.5,0.65,2
decode,284,1272.4,281.5,280.2,1860,14001,98,53,4.52,57.0,0x4,0.0,61.6,512,64,528.0,32,2.5,0.3,2
decode,320,1383.8,315.4,315.5,2010,14001,95,46,4.39,56.7,0x4,0.0,61.4,512,64,528.0,32,2.5,0.34,2
decode,359,1479.6,358.5,356.9,2190,14001,99,50,4.13,61.7,0x4,0.0,65.3,512,64,528.0,32,2.5,0.52,2
decode,404,1587.0,405.4,407.3,2355,14001,96,54,3.91,63.3,0x4,0.0,66.9,512,64,528.0,32,2.5,0.0,2
decode,454,1699.4,454.7,457.9,2505,14001,98,53,3.74,67.9,0x4,0.0,72.2,512,64,528.0,32,2.5,0.59,2
decode,511,1791.0,510.6,506.2,2670,14001,97,46,3.51,69.5,0x4,0.0,73.6,512,64,528.0,32,2.5,0.72,2
decode,575,1923.1,571.8,573.4,2805,14001,98,50,3.36,74.8,0x4,0.0,79.2,512,64,528.0,32,2.5,0.53,2
