phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,327.2,201.0,201.9,1290,14001,96,52,1.63,50.0,0x4,0.0,55.3,1024,32,1040.0,32,3.13,0.5,2
decode,225,387.6,225.9,225.8,1485,14001,97,52,1.72,55.0,0x4,0.0,59.2,1024,32,1040.0,32,2.64,0.02,2
decode,253,423.3,253.1,251.9,1665,14001,99,54,1.67,55.5,0x4,0.0,59.3,1024,32,1040.0,32,2.5,0.7,2
decode,284,447.4,283.1,283.2,1845,14001,97,52,1.58,57.7,0x4,0.0,62.2,1024,32,1040.0,32,2.5,0.75,2
decode,320,503.6,316.1,316.5,2010,14001,98,49,1.59,57.8,0x4,0.0,60.9,1024,32,1040.0,32,2.5,0.24,2
decode,359,513.7,359.1,361.4,2175,14001,99,56,1.43,60.5,0x4,0.0,65.2,1024,32,1040.0,32,2.5,0.01,2
decode,404,581.8,406.3,406.2,2325,14001,97,49,1.43,63.4,0x4,0.0,66.7,1024,32,1040.0,32,2.5,0.61,2
decode,454,580.3,450.1,450.5,2490,14001,97,56,1.29,66.5,0x4,0.0,70.2,1024,32,1040.0,32,2.5,0.47,2
decode,511,603.1,506.3,509.8,2670,14001,97,53,1.19,68.9,0x4,0.0,73.1,1024,32,1040.0,32,2.5,0.56,2
decode,575,645.6,573.0,570.8,2835,14001,95,53,1.13,74.2,0x4,0.0,78.2,1024,32,1040.0,32,2.5,0.2,2
