phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,97.1,198.5,199.4,1260,14001,97,49,0.49,51.4,0x4,0.0,55.8,4096,8,4112.0,32,2.64,0.46,2
decode,225,109.8,223.1,223.5,1470,14001,97,53,0.49,55.7,0x4,0.0,59.7,4096,8,4112.0,32,2.5,0.39,2
decode,253,119.5,252.9,252.8,1650,14001,97,53,0.47,55.0,0x4,0.0,57.5,4096,8,4112.0,32,2.5,0.29,2
decode,284,132.3,283.3,280.5,1815,14001,98,51,0.47,57.3,0x4,0.0,60.8,4096,8,4112.0,32,2.5,0.33,2
decode,320,142.5,321.2,320.5,1980,14001,97,49,0.44,57.8,0x4,0.0,62.4,4096,8,4112.0,32,2.5,0.38,2
decode,359,150.4,357.8,358.8,2145,14001,97,50,0.42,62.0,0x4,0.0,66.0,4096,8,4112.0,32,2.5,0.6,2
decode,404,160.6,407.4,405.8,2280,14001,95,46,0.39,62.6,0x4,0.0,65.7,4096,8,4112.0,32,2.5,0.9,2
decode,454,170.9,455.5,457.2,2445,14001,98,48,0.38,66.6,0x4,0.0,70.6,4096,8,4112.0,32,2.5,0.13,2
decode,511,179.0,507.6,506.3,2625,14001,97,56,0.35,70.9,0x4,0.0,74.7,4096,8,4112.0,32,2.5,0.19,2
decode,575,186.9,574.8,576.4,2775,14001,97,49,0.33,74.3,0x4,0.0,78.0,4096,8,4112.0,32,2.5,0.52,2
